br-data-accession,br-data-model-protein-accession,br-data-product-name,br-data-family-type,br-data-gene-symbol,br-data-ec-number,br-data-go-terms,br-data-complete_ident,br-data-complete-wp-coverage,br-data-complete-br-coverage,br-data-hits-number,br-data-date
NBR000224,WP_003899547.1,phthiocerol type I polyketide synthase PpsB,BlastRuleException,ppsB,,,94,90,90,216,2020-02-24
NBR000225,WP_003414837.1,phthiocerol type I polyketide synthase PpsC,BlastRuleException,ppsC,,,94,90,90,261,2020-02-24
NBR000226,WP_003899549.1,phthiocerol type I polyketide synthase PpsD,BlastRuleException,ppsD,,,94,90,90,358,2020-02-24
NBR000227,WP_003900602.1,phthiocerol type I polyketide synthase PpsE,BlastRuleException,ppsE,,,94,90,90,238,2020-02-24
NBR000228,WP_003898435.1,RND transporter MmpL1,BlastRuleException,mmpL1,,,94,90,90,181,2020-02-24
NBR000229,WP_003911183.1,RND transporter MmpL2,BlastRuleException,mmpL2,,,94,90,90,169,2020-02-24
NBR000230,WP_003899855.1,trehalose monomycolate RND transporter MmpL3,BlastRuleException,mmpL3,,,94,90,90,170,2020-02-24
NBR000231,WP_003898458.1,siderophore RND transporter MmpL4,BlastRuleException,mmpL4,,,94,90,90,192,2020-02-24
NBR000232,WP_009935604.1,siderophore RND transporter MmpL5,BlastRuleException,mmpL5,,,94,90,90,154,2020-02-24
NBR000233,WP_003414861.1,phthiocerol dimycocerosate RND transporter MmpL7,BlastRuleException,mmpL7,,,94,90,90,150,2020-02-24
NBR000234,WP_003899710.1,sulfolipid-1 RND transporter MmpL8,BlastRuleException,mmpL8,,,94,90,90,182,2020-02-24
NBR000235,WP_003899278.1,RND transporter MmpL9,BlastRuleException,mmpL9,,,94,90,90,166,2020-02-24
NBR000236,WP_003898761.1,RND transporter MmpL10,BlastRuleException,mmpL10,,,94,90,90,150,2020-02-24
NBR000237,WP_003401190.1,RND transporter MmpL11,BlastRuleException,mmpL11,,,94,90,90,184,2020-02-24
NBR000238,WP_003898915.1,RND transporter MmpL12,BlastRuleException,mmpL12,,,94,90,90,175,2020-02-24
NBR000239,WP_012767724.1,cysteine cluster protein YcgN,BlastRuleEquivalog,ycgN,,,75,90,90,1719,2022-12-22
NBR000240,WP_000939212.1,lipoprotein YdjY,BlastRuleEquivalog,ydjY,,,80,80,90,746,2021-07-03
NBR000242,WP_000767652.1,protein YgjJ,BlastRuleEquivalog,ygjJ,,,70,90,90,1732,2022-12-23
NBR000243,WP_000819746.1,DDRRRQL repeat protein YjdP,BlastRuleEquivalog,yjdP,,,70,90,90,582,2022-12-23
NBR000244,WP_000900941.1,protein YdbH,BlastRuleEquivalog,ydbH,,,95,90,90,2419,2022-12-23
NBR000245,WP_000018633.1,DUF2526 family protein YdcY,BlastRuleException,ydcY,,,94,90,90,163,2023-01-12
NBR000246,WP_000106474.1,DUF2594 family protein YecF,BlastRuleException,yecF,,,95,90,90,104,2023-01-12
NBR000247,WP_001059136.1,DUF2623 family protein YghW,BlastRuleException,yghW,,,94,90,90,244,2023-01-12
NBR000248,WP_000082127.1,DUF2766 family protein YecJ,BlastRuleException,yecJ,,,94,90,90,191,2023-01-12
NBR000249,WP_001007730.1,putative zinc ribbon protein YheV,BlastRuleEquivalog,yheV,,,80,80,90,499,2023-01-15
NBR000250,WP_000011658.1,carbon-nitrogen hydrolase family protein YobB,BlastRuleException,yobB,,,82,90,90,617,2023-01-13
NBR000253,WP_000146343.1,C4-type zinc finger protein YbiI,BlastRuleException,ybiI,,,94,90,90,389,2018-01-16
NBR000254,WP_001277142.1,acyl-CoA thioesterase YigI,BlastRuleException,yigI,,,86,90,90,847,2023-01-13
NBR000255,WP_000268419.1,DedA family general envelope maintenance protein YghB,BlastRuleException,yghB,,,85,90,90,953,2023-01-13
NBR000256,WP_000422149.1,DedA family general envelope maintenance protein YqjA,BlastRuleException,yqjA,,,84,90,90,700,2023-01-13
NBR000257,WP_000691930.1,DUF333 domain-containing lipoprotein YoaF,BlastRuleException,yoaF,,,94,90,90,260,2019-02-11
NBR000259,WP_000440926.1,DUF418 domain-containing protein YeiB,BlastRuleException,yeiB,,,88,90,90,1224,2023-01-15
NBR000261,WP_001027942.1,DUF218 domain-containing protein YdcF,BlastRuleException,ydcF,,,85,90,90,953,2023-01-15
NBR000262,WP_001142439.1,protein YaiA,BlastRuleEquivalog,yaiA,,,80,80,90,413,2022-12-23
NBR000263,"WP_001521305,WP_000492914.1",DUF1471 family protein YjfY,BlastRuleEquivalog,yjfY,,,70,90,90,749,2021-07-08
NBR000264,WP_000371704.1,4Fe-4S mono-cluster protein YjdI,BlastRuleEquivalog,yjdI,,,79,90,90,706,2023-01-13
NBR000266,WP_000106627.1,terminus macrodomain insulation protein YfbV,BlastRuleException,yfbV,,,90,90,90,467,2023-01-15
NBR000267,WP_000578178.1,Sel1 family TPR-like repeat protein YbeQ,BlastRuleException,ybeQ,,,90,90,90,866,2023-01-13
NBR000268,WP_000719886.1,Sel1 family TPR-like repeat protein YjcO,BlastRuleException,yjcO,,,82,90,90,670,2023-01-13
NBR000270,WP_001247610.1,lipoprotein GfcB,BlastRuleException,gfcB,,,88,90,90,503,2023-01-13
NBR000272,WP_001229442.1,thiosulfate sulfurtransferase YgaP,BlastRuleException,ygaP,2.8.1.1,,94,90,90,511,2021-02-10
NBR000274,WP_000712658.1,OB fold stress tolerance protein YgiW,BlastRuleException,ygiW,,,94,90,90,221,2019-02-11
NBR000275,WP_000460680.1,DUF494 family protein Smg,BlastRuleException,smg,,,78,90,90,889,2024-03-15
NBR000276,WP_000939317.1,DUF1971 domain-containing protein YeaR,BlastRuleException,yeaR,,,82,90,90,435,2021-04-07
NBR000278,WP_000490072.1,DUF2502 domain-containing protein YpeC,BlastRuleException,ypeC,,,82,90,90,469,2023-01-13
NBR000279,WP_001308243.1,DUF2501 domain-containing protein YjjA,BlastRuleException,yjjA,,,90,90,90,371,2023-01-13
NBR000280,WP_001271686.1,protein YhhH,BlastRuleException,yhhH,,,90,90,90,436,2022-12-23
NBR000282,WP_001295543.1,DUF1090 family protein YqjC,BlastRuleException,yqjC,,,90,90,90,250,2023-01-15
NBR000283,WP_000767280.1,tetratricopeptide repeat protein YfbP,BlastRuleException,yfbP,,,88,90,90,176,2023-01-15
NBR000284,WP_000515837.1,protein YmfL,BlastRuleException,ymfL,,,85,90,90,1347,2023-01-15
NBR000285,WP_000056538.1,crosslink repair DNA glycosylase YcaQ,BlastRuleException,ycaQ,,,85,90,90,1302,2023-01-15
NBR000286,WP_001094831.1,osmotic shock tolerance protein YggT,BlastRuleException,yggT,,,94,90,90,266,2019-02-11
NBR000287,WP_000758655.1,lipoprotein YgdR,BlastRuleException,ygdR,,,95,90,90,148,2018-01-16
NBR000288,WP_000847902.1,UPF0149 family protein YecA,BlastRuleException,yecA,,,94,90,90,564,2019-02-12
NBR000289,WP_001236265.1,BenE family transporter YdcO,BlastRuleException,ydcO,,,94,90,90,1876,2019-02-11
NBR000290,WP_001306955.1,Raf kinase inhibitor-like protein YbcL,BlastRuleException,ybcL,,,94,90,90,289,2019-02-11
NBR000292,WP_000189333.1,DNA damage response exodeoxyribonuclease YhbQ,BlastRuleException,yhbQ,3.1.11.1,,94,90,90,310,2019-01-03
NBR000293,WP_003899737.1,type VII secretion system ESX-1 associated protein EspF,BlastRuleException,espF,,,94,90,90,29,2022-03-30
NBR000294,WP_003399839.1,type VII secretion system ESX-1 adaptor EspG1,BlastRuleException,espG1,,,94,90,90,70,2020-02-24
NBR000295,"WP_003399850,WP_003891386,WP_012396943.1",type VII secretion system ESX-1 AAA family ATPase EccA1,BlastRuleException,eccA1,,,94,90,90,117,2020-02-24
NBR000296,WP_003399854.1,type VII secretion system ESX-1 subunit EccB1,BlastRuleException,eccB1,,,94,90,90,144,2020-02-24
NBR000297,WP_003899738.1,type VII secretion system ESX-1 FtsK/SpoIIIE family ATPase EccCa1,BlastRuleException,eccCa1,,,94,90,90,169,2020-02-24
NBR000298,WP_003399865.1,type VII secretion system ESX-1 FtsK/SpoIIIE family ATPase EccCb1,BlastRuleException,eccCb1,,,94,90,90,138,2020-02-24
NBR000299,WP_003399976.1,type VII secretion system ESX-1 subunit EccD1,BlastRuleException,eccD1,,,94,90,90,127,2020-02-24
NBR000300,WP_003901751.1,type VII secretion system ESX-1 associated protein EspJ,BlastRuleException,espJ,,,94,90,90,63,2020-02-24
NBR000301,WP_003399988.1,type VII secretion system ESX-1 associated protein EspL,BlastRuleException,espL,,,94,90,90,23,2020-02-24
NBR000302,"WP_003399995,WP_003891407,WP_012396956.1",type VII secretion system ESX-1 target EspB,BlastRuleEquivalog,espB,,,80,80,90,154,2020-02-24
NBR000303,WP_003400000.1,type VII secretion system ESX-1 subunit EccE1,BlastRuleException,eccE1,,,94,90,90,201,2020-02-24
NBR000304,WP_003399759.1,type VII secretion system ESX-1 transcriptional regulator EspR,BlastRuleException,espR,,,94,90,90,15,2020-02-24
NBR000305,"WP_003400004,WP_011726654,WP_041325041.1",type VII secretion system ESX-1 serine protease mycosin MycP1,BlastRuleException,mycP1,,,94,90,90,126,2020-09-09
NBR000306,WP_003909105.1,type VII secretion system ESX-1 associated protein EspI,BlastRuleException,espI,,,94,90,90,300,2025-01-04
NBR000307,WP_010886183.1,type VII secretion system ESX-1 associated protein EspK,BlastRuleException,espK,,,94,90,90,246,2020-02-24
NBR000308,WP_003419545.1,type VII secretion system ESX-1 target EspD,BlastRuleException,espD,,,94,90,90,35,2020-02-24
NBR000309,WP_003899599.1,type VII secretion system ESX-1 filament-forming target EspC,BlastRuleException,espC,,,94,90,90,25,2020-02-24
NBR000310,WP_003912265.1,type VII secretion system ESX-1 target EspA,BlastRuleException,espA,,,94,90,90,90,2020-02-24
NBR000311,"WP_003899736,WP_012396939.1",type VII secretion system ESX-1 associated protein EspE,BlastRuleException,espE,,,94,90,90,125,2021-01-31
NBR000312,WP_003399844.1,type VII secretion system ESX-1 associated protein EspH,BlastRuleException,espH,,,94,90,90,33,2020-02-24
NBR000313,WP_003912361.1,type VII secretion system ESX-1 target PE35,BlastRuleException,,,,94,90,90,21,2020-02-24
NBR000314,WP_003399879.1,type VII secretion system ESX-1 target PPE68,BlastRuleException,,,,94,90,90,92,2020-02-24
NBR000315,WP_003399963.1,type VII secretion system ESX-1 WXG100 family target ESAT-6,BlastRuleException,esxA,,,94,90,90,32,2020-02-24
NBR000316,WP_003399940.1,type VII secretion system ESX-1 WXG100 family target CFP-10,BlastRuleException,esxB,,,94,90,90,41,2020-02-24
NBR000317,"WP_003907154,WP_010948763.1",type VII secretion system ESX-2 AAA family ATPase EccA2,BlastRuleException,eccA2,,,94,90,90,207,2020-02-24
NBR000319,WP_003902572.1,type VII secretion system ESX-2 subunit EccE2,BlastRuleException,eccE2,,,94,90,90,170,2020-02-24
NBR000320,"WP_003400012,WP_010948761.1",type VII secretion system ESX-2 serine protease mycosin MycP2,BlastRuleException,mycP2,,,94,90,90,316,2020-02-24
NBR000321,WP_003900775.1,type VII secretion system ESX-2 subunit EccD2,BlastRuleException,eccD2,,,94,90,90,138,2020-02-24
NBR000322,WP_003400028.1,type VII secretion system ESX-2 associated protein EspG2,BlastRuleException,espG2,,,94,90,90,64,2020-02-24
NBR000323,WP_003917257.1,type VII secretion system ESX-2 FtsK/SpoIIIE family ATPase EccC2,BlastRuleException,eccC2,,,94,90,90,264,2020-02-24
NBR000324,WP_003400065.1,type VII secretion system ESX-2 subunit EccB2,BlastRuleException,eccB2,,,94,90,90,191,2020-02-24
NBR000325,"WP_003892035,WP_003879178,WP_012392508,WP_003911145.1",type VII secretion system ESX-3 AAA family ATPase EccA3,BlastRuleException,eccA3,,,94,90,90,138,2020-12-15
NBR000326,WP_003401472.1,type VII secretion system ESX-3 subunit EccB3,BlastRuleException,eccB3,,,94,90,90,101,2020-02-24
NBR000327,WP_003916637.1,type VII secretion system ESX-3 FtsK/SpoIIIE family ATPase EccC3,BlastRuleException,eccC3,,,94,90,90,240,2020-02-24
NBR000328,WP_003401524.1,type VII secretion system ESX-3 subunit EccD3,BlastRuleException,eccD3,,,94,90,90,113,2020-02-24
NBR000329,"WP_003401528,WP_003879189,WP_012392515,WP_011727074.1",type VII secretion system ESX-3 serine protease mycosin MycP3,BlastRuleException,mycP3,,,94,90,90,187,2020-02-24
NBR000330,WP_003916638.1,type VII secretion system ESX-3 subunit EccE3,BlastRuleException,eccE3,,,94,90,90,61,2020-02-24
NBR000331,WP_003401485.1,type VII secretion system ESX-3 target PE5,BlastRuleException,,,,94,90,90,24,2020-02-24
NBR000332,WP_003401488.1,type VII secretion system ESX-3 target PPE4,BlastRuleException,,,,94,90,90,171,2020-02-24
NBR000333,WP_003401521.1,type VII secretion system ESX-3 associated protein EspG3,BlastRuleException,espG3,,,94,90,90,63,2020-02-24
NBR000334,WP_003418333.1,type VII secretion system ESX-4 subunit EccB4,BlastRuleException,eccB4,,,94,90,90,128,2020-02-24
NBR000335,WP_003912232.1,type VII secretion system ESX-4 FtsK/SpoIIIE family ATPase EccC4,BlastRuleException,eccC4,,,94,90,90,215,2020-02-24
NBR000336,WP_003900062.1,type VII secretion system ESX-4 subunit EccD4,BlastRuleException,eccD4,,,94,90,90,100,2020-02-24
NBR000337,"WP_010950276,WP_003418331,WP_011727724,WP_012392987.1",type VII secretion system ESX-4 serine protease mycosin MycP4,BlastRuleException,mycP4,,,94,90,90,157,2020-02-24
NBR000338,WP_003899021.1,type VII secretion system ESX-5 subunit EccB5,BlastRuleException,eccB5,,,94,90,90,43,2020-02-24
NBR000339,WP_003408799.1,type VII secretion system ESX-5 FtsK/SpoIIIE family ATPase EccC5,BlastRuleException,eccC5,,,94,90,90,146,2020-02-24
NBR000340,WP_003900411.1,type VII secretion system ESX-5 subunit EccD5,BlastRuleException,eccD5,,,94,90,90,79,2020-02-24
NBR000341,WP_003408859.1,type VII secretion system ESX-5 subunit EccE5,BlastRuleException,eccE5,,,94,90,90,66,2020-02-24
NBR000342,"WP_003408868,WP_003877894,WP_012394394.1",type VII secretion system ESX-5 AAA family ATPase EccA5,BlastRuleException,eccA5,,,94,90,90,144,2020-02-24
NBR000343,WP_003901254.1,type VII secretion system ESX-5 target PPE25,BlastRuleException,,,,94,90,90,271,2020-02-24
NBR000344,WP_003408976.1,type VII secretion system ESX-5 target PE18,BlastRuleException,,,,94,90,90,27,2020-02-24
NBR000345,WP_003408979.1,type VII secretion system ESX-5 target PPE26,BlastRuleException,,,,94,90,90,108,2020-02-24
NBR000346,WP_003408805.1,type VII secretion system ESX-5 target PPE27,BlastRuleException,,,,94,90,90,216,2020-02-24
NBR000347,WP_003408807.1,type VII secretion system ESX-5 target PE19,BlastRuleException,,,,94,90,90,26,2020-02-24
NBR000348,"WP_003877892,WP_003408854,WP_012394392.1",type VII secretion system ESX-5 serine protease mycosin MycP5,BlastRuleException,mycP5,,,94,90,90,121,2020-02-24
NBR000349,WP_071661762.1,listeriolysin S,BlastRuleEquivalog,llsA,,,80,80,90,12,2018-01-16
NBR000350,WP_011382299.1,stapholysin S,BlastRuleException,stsA,,,90,90,90,12,2019-01-16
NBR000351,WP_003357148.1,clostridiolysin S,BlastRuleEquivalog,closA,,,80,80,90,12,2018-01-16
NBR000352,WP_080557165.1,serine-rich repeat glycoprotein adhesin SrpA,BlastRuleException,srpA,,,94,60,40,2,2018-01-16
NBR000353,"WP_012000387,WP_046165954.1",serine-rich repeat glycoprotein adhesin Hsa/GspB,BlastRuleException,gspB,,,88,75,75,8,2021-08-31
NBR000354,WP_041826481.1,serine-rich repeat glycoprotein adhesin Fap1,BlastRuleException,fap1,,,94,60,40,1,2019-01-16
NBR000355,"WP_078495769,WP_079117019,WP_078464109,WP_142291904.1",serine-rich repeat glycoprotein adhesin PsrP,BlastRuleException,psrP,,,94,40,30,13,2022-11-19
NBR000356,"WP_000044531,WP_000044594,WP_000044585.1",serine-rich repeat glycoprotein adhesin SasA,BlastRuleException,sasA,,,87,75,75,2051,2021-07-02
NBR000357,WP_070002951.1,cell-wall-anchored protein SasD,BlastRuleException,sasD,,,87,90,90,No hit has been calculated yet for this BlastRule,2022-12-20
NBR000358,WP_001151900.1,cell-wall-anchored protein SasF,BlastRuleException,sasF,,,94,90,90,523,2019-01-16
NBR000359,WP_000397940.1,putative intracellular survival FAD-dependent oxidoreductase IbeA,BlastRuleException,ibeA,,,90,90,90,123,2019-01-16
NBR000360,WP_003086093.1,outer membrane porin OprD,BlastRuleException,oprD,,,94,90,90,160,2025-05-29
NBR000361,WP_000729703.1,type II toxin-antitoxin system antitoxin DinJ,BlastRuleException,dinJ,,,94,90,90,171,2018-01-16
NBR000362,WP_000615979.1,type II toxin-antitoxin system mRNA interferase toxin YafQ,BlastRuleException,yafQ,3.1.26.-,,94,90,90,238,2021-02-10
NBR000363,WP_000938191.1,type III secretion system effector protease PipA,BlastRuleException,pipA,,,94,90,90,202,2020-02-24
NBR000364,WP_001110786.1,type III secretion system effector protease GogA,BlastRuleException,gogA,,,98.8,90,90,51,2020-02-24
NBR000365,WP_001141973.1,type III secretion system effector protease GtgA,BlastRuleException,gtgA,,,98.5,90,90,102,2025-08-26
NBR000366,"WP_000359808,WP_004726690,WP_050912619.1",chitoporin,BlastRuleEquivalog,chiP,,,80,80,90,301,2019-01-16
NBR000367,WP_011173034.1,mannosyl-3-phosphoglycerate phosphatase,BlastRuleEquivalog,mpgP,,,80,80,90,10,2018-01-16
NBR000368,"WP_004069857,WP_010885016,WP_014835172,WP_015858435,WP_048149873,WP_048164256,WP_012766278,WP_013905441,WP_042679294.1",mannosyl-3-phosphoglycerate phosphatase,BlastRuleEquivalog,mpgP,,,70,80,90,55,2019-01-16
NBR000369,WP_003641985.1,two-peptide bacteriocin plantaricin EF subunit PlnE,BlastRuleException,plnE,,,94,90,90,13,2018-01-16
NBR000370,WP_003643811.1,two-peptide bacteriocin plantaricin EF subunit PlnF,BlastRuleException,plnF,,,94,90,90,12,2018-01-16
NBR000371,WP_003641973.1,two-peptide bacteriocin plantaricin JK subunit PlnJ,BlastRuleException,plnJ,,,94,90,90,10,2018-01-16
NBR000372,WP_003641972.1,two-peptide bacteriocin plantaricin JK subunit PlnK,BlastRuleException,plnK,,,94,90,90,4,2018-01-16
NBR000373,WP_012461825.1,DegP-like serine protease TSA47,BlastRuleException,,,,94,90,90,13,2019-01-16
NBR000374,WP_003086047.1,lipid A hydroxylase LpxO2,BlastRuleException,lpxO2,,,85,90,90,150,2019-01-16
NBR000375,WP_014532405.1,phenol-soluble modulin PSM-mec,BlastRuleException,psm-mec,,,94,90,90,4,2019-01-16
NBR000376,WP_087587975.1,phenol-soluble modulin PSM-delta,BlastRuleException,,,,94,90,90,6,2020-09-16
NBR000377,WP_014373779.1,phenol-soluble modulin PSM-alpha-3,BlastRuleException,,,,94,90,90,18,2018-01-16
NBR000378,WP_014373781.1,phenol-soluble modulin PSM-alpha-1,BlastRuleException,,,,94,90,90,19,2018-01-16
NBR000379,WP_014373780.1,phenol-soluble modulin PSM-alpha-2,BlastRuleException,,,,94,90,90,15,2018-01-16
NBR000380,WP_014532416.1,phenol-soluble modulin PSM-alpha-4,BlastRuleException,,,,94,90,90,18,2018-01-16
NBR000381,"WP_000991302,WP_001830432.1",phenol-soluble modulin export ABC transporter ATP-binding protein PmtA,BlastRuleEquivalog,pmtA,,,80,80,90,321,2020-02-24
NBR000382,"WP_000763048,WP_001830444.1",phenol-soluble modulin export ABC transporter ATP-binding protein PmtC,BlastRuleEquivalog,pmtC,,,80,80,90,335,2020-02-24
NBR000383,"WP_002494112,WP_000645727.1",phenol-soluble modulin export ABC transporter permease subunit PmtB,BlastRuleEquivalog,pmtB,,,80,80,90,355,2024-09-19
NBR000384,"WP_001221651,WP_001830379.1",phenol-soluble modulin export ABC transporter permease subunit PmtD,BlastRuleEquivalog,pmtD,,,80,80,90,314,2020-02-24
NBR000385,"WP_002494082,WP_000046022.1",delta-hemolysin,BlastRuleException,hld,,,91,90,90,30,2020-12-10
NBR000386,"WP_004144870,WP_019077543.1",OB-fold putative lipoprotein,BlastRuleEquivalog,,,,80,80,90,317,2018-01-16
NBR000387,WP_001301750.1,two component system sensor histidine kinase QseE/GlrK,BlastRuleEquivalog,qseE,,,80,80,90,2082,2018-01-16
NBR000388,WP_001295369.1,two-component system response regulator QseF/GlrR,BlastRuleEquivalog,qseF,,,80,80,90,2663,2020-02-24
NBR000389,WP_003088694.1,AraC family transcriptional regulator CmrA,BlastRuleEquivalog,cmrA,,,80,80,90,230,2019-05-09
NBR000390,"WP_006010144,WP_044233223.1",tandem repeat protein effector TRP47,BlastRuleException,,,,94,90,90,4,2020-12-17
NBR000391,WP_000239544.1,Panton-Valentine bi-component leukocidin subunit S,BlastRuleException,lukS-PV,,,94,90,90,39,2020-09-09
NBR000392,WP_088621906.1,Panton-Valentine bi-component leukocidin subunit F,BlastRuleException,lukF-PV,,,94,90,90,48,2019-05-10
NBR000393,WP_086037612.1,bi-component leukocidin LukPQ subunit P,BlastRuleException,lukP,,,94,90,90,6,2018-01-16
NBR000394,WP_086037611.1,bi-component leukocidin LukPQ subunit Q,BlastRuleException,lukQ,,,94,90,90,5,2018-01-16
NBR000395,"WP_114304764,WP_088621909.1",bi-component leukocidin LukED subunit E,BlastRuleException,lukE,,,94,90,90,308,2020-09-09
NBR000396,WP_088621910.1,bi-component leukocidin LukED subunit D,BlastRuleException,lukD,,,94,90,90,61,2018-01-16
